Tract,sf_num_loans,sf_med_income,sf_med_upb,indian,asian,black,hawai,white,mean_age,sf_purchase,sf_refinance,sf_rehab,sf_cashout,sf_na,mf_num_loans,mf_med_upb,mf_purchase,mf_refinance,mf_rehab,mf_cashout,mf_na,NAME,unitE,unitM,geometry,family
050600,77,84000,125000,1,1,21,0,39,41.688311688311686,43,21,1,12,0,1,6500000,0,1,0,0,0,"Census Tract 506, Allegheny County, Pennsylvania",832,114,"list(list(c(1351807.11062543, 1353377.65828884, 1353822.87793468, 1354112.8254377, 1354283.51297419, 1354569.86913793, 1355109.06909988, 1354856.65067989, 1354057.27634404, 1353839.82993991, 1353622.64673046, 1352063.14524794, 1351992.51549984, 1352234.69450167, 1352232.87046816, 1352086.09567066, 1351884.42602531, 1351807.11062543, 113015.874847199, 113627.767648604, 113979.052727228, 114158.994921984, 114214.780736925, 114079.190372723, 112195.737400364, 111401.791324849, 110691.764128703, 110506.691890952, 
110463.028751222, 110671.617186352, 111317.441518508, 111826.971401128, 111940.732474056, 112167.541621212, 112457.716091785, 113015.874847199)))",Single Family and Multi Family
050900,1,95000,75000,0,0,0,0,1,20,1,0,0,0,0,1,2505000,0,0,0,1,0,"Census Tract 509, Allegheny County, Pennsylvania",828,49,"list(list(c(1346765.79805849, 1347601.69292762, 1348105.99754025, 1348750.13036377, 1349574.43579033, 1349653.35538574, 1351166.20711798, 1351810.09116676, 1351807.11062543, 1351884.42602531, 1352086.09567066, 1351604.68177334, 1350816.84380085, 1350334.36046159, 1349817.52310373, 1349097.28455182, 1347155.80055821, 1346826.27810202, 1346765.79805849, 110714.029134128, 111200.916237208, 111365.425858358, 111554.049252404, 112167.043139205, 112215.313243098, 112961.578068658, 113186.734697051, 113015.874847199, 
112457.716091785, 112167.541621212, 112286.285718718, 111877.1212299, 111237.820338259, 111354.592802171, 110978.007727561, 109965.187169383, 110392.462875302, 110714.029134128)))",Single Family and Multi Family
051000,9,61000,100000,0,1,4,0,3,42.22222222222222,1,5,0,3,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 510, Allegheny County, Pennsylvania",778,74,"list(list(c(1349183.99577367, 1349650.29422155, 1350081.654742, 1350873.36304167, 1351319.89926994, 1352063.14524794, 1353622.64673046, 1353839.82993991, 1353140.43773814, 1352475.06458469, 1351925.71094734, 1351760.80153798, 1351668.1677174, 1351132.94707068, 1351034.68236773, 1351136.04422736, 1351103.96357486, 1350900.4224696, 1349880.1006443, 1349661.80860112, 1349498.62387888, 1349183.99577367, 108880.437061057, 109125.046841585, 109343.226553632, 109704.160556724, 110080.881786581, 110671.617186352, 
110463.028751222, 110506.691890952, 109439.879560867, 109161.657134871, 108662.531387335, 108507.841827771, 108707.390608793, 108554.531552846, 108164.514423189, 107914.442647536, 107259.946916871, 107054.497564909, 107663.451545538, 107577.937510227, 107784.044664401, 108880.437061057)))",Single Family only
060300,342,97000,215000,1,13,5,0,286,33.654970760233915,206,103,2,31,0,3,2625000,0,1,0,2,0,"Census Tract 603, Allegheny County, Pennsylvania",1241,94,"list(list(c(1350390.47404823, 1350626.66377179, 1350834.20403507, 1351225.32551326, 1352584.94606512, 1352966.50951557, 1353341.89202852, 1353797.52975171, 1354137.98350845, 1354333.57482736, 1355058.7403058, 1355292.42713004, 1355160.62697318, 1354656.04310289, 1354382.60482933, 1354171.68824142, 1351826.1010935, 1351680.93330441, 1351285.76343672, 1349708.16101496, 1350390.47404823, 118080.758369017, 118683.363549796, 118842.052836965, 119430.48636648, 118328.524053938, 117912.390149217, 117493.504642985, 
116990.207746422, 116597.739189627, 115589.007620773, 115708.667696629, 115702.719259964, 115479.01048727, 114806.295650821, 114967.797640068, 115015.452482124, 114562.925395138, 114993.070039503, 115150.799329123, 116961.856806255, 118080.758369017)))",Single Family and Multi Family
060500,99,82000,146000,0,3,0,0,87,33.63636363636363,64,29,0,6,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 605, Allegheny County, Pennsylvania",665,78,"list(list(c(1349329.50717161, 1351285.76343672, 1351680.93330441, 1351826.1010935, 1354171.68824142, 1354382.60482933, 1354656.04310289, 1354290.07132942, 1354283.51297419, 1354112.8254377, 1353822.87793468, 1353377.65828884, 1351807.11062543, 1351810.09116676, 1351166.20711798, 1349653.35538574, 1349891.27377587, 1349329.50717161, 113481.419082802, 115150.799329123, 114993.070039503, 114562.925395138, 115015.452482124, 114967.797640068, 114806.295650821, 114275.479764814, 114214.780736925, 114158.994921984, 
113979.052727228, 113627.767648604, 113015.874847199, 113186.734697051, 112961.578068658, 112215.313243098, 113218.786923376, 113481.419082802)))",Single Family only
070300,178,144000,275500,1,22,1,0,120,41.01123595505618,82,87,0,9,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 703, Allegheny County, Pennsylvania",1124,93,"list(list(c(1358743.0252201, 1359908.60247823, 1360146.28241779, 1361106.23600057, 1361523.72737174, 1361874.13760126, 1360592.46244009, 1360143.58402891, 1359728.15603722, 1359296.70714384, 1358743.0252201, 111427.063220542, 111904.572498839, 112044.357725358, 112617.502723422, 111628.757374673, 110805.353376896, 110317.556000918, 110150.65873203, 110117.777325743, 110090.046082577, 111427.063220542)))",Single Family only
070500,231,127000,205000,2,18,1,0,186,38.484848484848484,117,93,0,21,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 705, Allegheny County, Pennsylvania",1720,108,"list(list(c(1360715.05957943, 1362141.31330388, 1363247.59913202, 1363221.82654624, 1363180.90659052, 1363175.52210224, 1363111.68417821, 1362613.05731572, 1362130.50550751, 1361523.72737174, 1361106.23600057, 1360715.05957943, 113544.361872849, 114053.670394313, 114461.757243595, 114111.789466777, 113524.571049643, 113432.132219092, 112353.826108013, 112099.569130587, 111864.963294015, 111628.757374673, 112617.502723422, 113544.361872849)))",Single Family only
070600,218,120000,190000,0,19,8,1,166,40.77981651376147,131,77,0,10,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 706, Allegheny County, Pennsylvania",1315,82,"list(list(c(1361523.72737174, 1362130.50550751, 1362613.05731572, 1363111.68417821, 1363175.52210224, 1363180.90659052, 1363938.98887686, 1363897.59318618, 1364388.07678139, 1364006.93124413, 1363472.48624505, 1362960.49999509, 1362214.07604107, 1361874.13760126, 1361523.72737174, 111628.757374673, 111864.963294015, 112099.569130587, 112353.826108013, 113432.132219092, 113524.571049643, 113291.599044639, 113006.532860704, 111860.017902758, 111793.766949429, 111532.372358799, 111278.807668534, 110937.118223918, 
110805.353376896, 111628.757374673)))",Single Family only
070800,114,146000,265000,0,9,0,0,89,42.63157894736842,58,50,0,6,0,2,30634000,0,1,0,1,0,"Census Tract 708, Allegheny County, Pennsylvania",1551,70,"list(list(c(1363221.82654624, 1363247.59913202, 1363899.46917863, 1364309.53505908, 1365169.39093803, 1365348.0984557, 1366704.55421844, 1365885.46189929, 1364388.07678139, 1363897.59318618, 1363938.98887686, 1363180.90659052, 1363221.82654624, 114111.789466777, 114461.757243595, 114701.246216705, 114468.272756532, 113675.521731871, 113507.768033033, 112218.640994952, 112084.941534804, 111860.017902758, 113006.532860704, 113291.599044639, 113524.571049643, 114111.789466777)))",Single Family and Multi Family
070900,330,130000,236500,2,58,5,2,227,40.96969696969697,191,115,0,24,0,2,9527500,0,1,0,1,0,"Census Tract 709, Allegheny County, Pennsylvania",2538,145,"list(list(c(1356322.88242405, 1357249.70818743, 1358179.2250305, 1357854.43967706, 1358497.10737613, 1358625.7086386, 1359441.14831606, 1360031.73149373, 1360715.05957943, 1361106.23600057, 1360146.28241779, 1359908.60247823, 1358743.0252201, 1359296.70714384, 1357057.51485809, 1356835.92494487, 1356563.31272147, 1356322.88242405, 111950.929293538, 112289.683367031, 112625.852938984, 112883.376374782, 113118.216978609, 112787.306300401, 113083.768347981, 113307.573962658, 113544.361872849, 112617.502723422, 
112044.357725358, 111904.572498839, 111427.063220542, 110090.046082577, 109948.846111708, 110258.070608091, 111145.545194062, 111950.929293538)))",Single Family and Multi Family
080200,182,82500,143500,0,10,1,0,154,32.417582417582416,118,37,0,27,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 802, Allegheny County, Pennsylvania",935,53,"list(list(c(1355160.62697318, 1355292.42713004, 1355513.22791858, 1355829.70833579, 1356361.28121418, 1357119.13177346, 1356781.18558081, 1356967.13859855, 1356175.04730022, 1355868.3422451, 1355365.88974845, 1354656.04310289, 1355160.62697318, 115479.01048727, 115702.719259964, 115989.039485877, 115812.605996296, 115413.124293211, 114857.387319374, 114079.444073976, 113497.407946932, 113638.525957086, 113696.982628345, 113863.56760837, 114806.295650821, 115479.01048727)))",Single Family only
080400,111,106000,178000,0,18,0,0,78,38.55855855855856,57,44,0,10,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 804, Allegheny County, Pennsylvania",877,55,"list(list(c(1355868.3422451, 1356175.04730022, 1356967.13859855, 1356781.18558081, 1357119.13177346, 1358038.387923, 1359441.14831606, 1358625.7086386, 1358497.10737613, 1357854.43967706, 1358179.2250305, 1357249.70818743, 1356322.88242405, 1356303.57022592, 1355935.2493479, 1355868.3422451, 113696.982628345, 113638.525957086, 113497.407946932, 114079.444073976, 114857.387319374, 114176.946792034, 113083.768347981, 112787.306300401, 113118.216978609, 112883.376374782, 112625.852938984, 112289.683367031, 
111950.929293538, 112144.223316468, 113371.998829845, 113696.982628345)))",Single Family only
080600,212,114000,220500,0,17,3,0,165,40,105,87,0,20,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 806, Allegheny County, Pennsylvania",1180,73,"list(list(c(1358103.52627902, 1358213.12225515, 1358663.09294047, 1358771.47307319, 1360206.42535299, 1360131.84071945, 1359989.78780555, 1359883.91046625, 1360031.73149373, 1359441.14831606, 1358038.387923, 1358103.52627902, 114616.30144308, 115459.088064546, 115397.398855873, 116105.001001492, 115639.754713959, 115199.540662935, 114358.659964226, 113715.864460947, 113307.573962658, 113083.768347981, 114176.946792034, 114616.30144308)))",Single Family only
080700,92,111000,242000,0,10,1,0,72,37.28260869565217,37,45,0,10,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 807, Allegheny County, Pennsylvania",1144,92,"list(list(c(1359989.78780555, 1360131.84071945, 1360206.42535299, 1360491.32433976, 1360655.80683781, 1361214.31877341, 1361713.72356431, 1361437.02805503, 1361207.7130434, 1360662.58723734, 1360715.05957943, 1360031.73149373, 1359883.91046625, 1359989.78780555, 114358.659964226, 115199.540662935, 115639.754713959, 116273.294564127, 116282.994149954, 116033.101435647, 115790.177364581, 115238.057222623, 114776.955437511, 113660.492167724, 113544.361872849, 113307.573962658, 113715.864460947, 114358.659964226
)))",Single Family only
080900,122,88000,179000,1,8,1,0,97,37.459016393442624,72,43,0,7,0,3,1165000,0,0,0,3,0,"Census Tract 809, Allegheny County, Pennsylvania",1027,80,"list(list(c(1356363.56054846, 1356894.87521998, 1357343.95109122, 1357680.38909855, 1358814.76373107, 1359300.481202, 1360119.96099101, 1360491.32433976, 1360206.42535299, 1358771.47307319, 1358663.09294047, 1358213.12225515, 1358103.52627902, 1358038.387923, 1357119.13177346, 1356361.28121418, 1356363.56054846, 115448.055250917, 116715.664717744, 116619.713058449, 116549.586547277, 116319.66958701, 116230.11690623, 116261.529658794, 116273.294564127, 115639.754713959, 116105.001001492, 115397.398855873, 
115459.088064546, 114616.30144308, 114176.946792034, 114857.387319374, 115413.124293211, 115448.055250917)))",Single Family and Multi Family
090100,354,102500,225000,0,15,5,0,296,33.50282485875706,237,78,1,38,0,3,32805000,0,0,0,3,0,"Census Tract 901, Allegheny County, Pennsylvania",1139,81,"list(list(c(1352366.33527443, 1352823.27852059, 1353535.70841177, 1354889.38947585, 1354334.75913773, 1354194.92768166, 1353973.30410725, 1353360.51602456, 1352966.50951557, 1352584.94606512, 1351225.32551326, 1352366.33527443, 121284.485878351, 121946.704349614, 122762.772549269, 121376.806247951, 120581.822540456, 119758.775190476, 119385.016529323, 118299.232896036, 117912.390149217, 118328.524053938, 119430.48636648, 121284.485878351)))",Single Family and Multi Family
090200,381,105000,195000,1,14,4,0,317,33.56955380577428,238,107,1,35,0,1,6405000,0,0,0,1,0,"Census Tract 902, Allegheny County, Pennsylvania",1456,104,"list(list(c(1353360.51602456, 1353973.30410725, 1354194.92768166, 1355253.99208478, 1355055.52734472, 1355306.51479304, 1355871.55547909, 1355824.88956949, 1355719.75458388, 1355147.9555182, 1354914.87234286, 1354137.98350845, 1353797.52975171, 1353341.89202852, 1352966.50951557, 1353360.51602456, 118299.232896036, 119385.016529323, 119758.775190476, 118796.933815807, 117922.161854057, 117721.875793404, 117348.865493006, 116914.878098289, 116907.346724051, 116796.51944414, 116749.241886048, 116597.739189627, 
116990.207746422, 117493.504642985, 117912.390149217, 118299.232896036)))",Single Family and Multi Family
090300,143,78000,140000,0,4,3,1,120,34.47552447552447,99,29,0,15,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 903, Allegheny County, Pennsylvania",896,72,"list(list(c(1354137.98350845, 1354914.87234286, 1355147.9555182, 1355719.75458388, 1355824.88956949, 1356886.28840877, 1356894.87521998, 1356363.56054846, 1356361.28121418, 1355829.70833579, 1355513.22791858, 1355292.42713004, 1355058.7403058, 1354333.57482736, 1354137.98350845, 116597.739189627, 116749.241886048, 116796.51944414, 116907.346724051, 116914.878098289, 116717.340558731, 116715.664717744, 115448.055250917, 115413.124293211, 115812.605996296, 115989.039485877, 115702.719259964, 115708.667696629, 
115589.007620773, 116597.739189627)))",Single Family only
100500,176,68500,115000,2,3,32,1,113,39.03409090909091,95,55,1,25,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1005, Allegheny County, Pennsylvania",877,51,"list(list(c(1358030.87762576, 1359108.63147563, 1359911.47388101, 1360071.96088083, 1360822.95152145, 1361158.7505862, 1361203.78924242, 1361475.52573429, 1361589.52468541, 1361502.00903958, 1361191.20710265, 1360709.00665737, 1360184.94619935, 1359715.36960154, 1359669.95511544, 1358492.39283361, 1358030.87762576, 121405.600214764, 122587.973022997, 122343.893849672, 122285.169876018, 122003.797997515, 121767.538632364, 121688.407651534, 120069.166156545, 119589.573844252, 118910.958193312, 118407.081953123, 
118976.509525975, 119694.977164013, 119704.652235397, 119713.818169497, 120968.941540344, 121405.600214764)))",Single Family only
101100,387,95000,193000,1,12,6,0,324,32.89405684754522,260,81,0,46,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1011, Allegheny County, Pennsylvania",1232,108,"list(list(c(1353535.70841177, 1355056.30974124, 1356267.49565829, 1357233.50248307, 1359829.65658206, 1359925.81160078, 1360139.57963438, 1357567.04513085, 1358361.73492884, 1357907.55643781, 1357173.0030023, 1357203.60029347, 1356766.57116091, 1356693.31080791, 1356101.5882199, 1355245.2968093, 1355117.34559712, 1354889.38947585, 1353535.70841177, 122762.772549269, 124127.92623425, 124734.19690075, 125111.667464132, 125856.853685272, 125885.038879086, 124918.179922635, 123791.12724165, 122974.626157488, 
122974.471937498, 121949.271824144, 121180.929117201, 121265.645533225, 121263.132460212, 121021.21893489, 121046.647401966, 121169.814780954, 121376.806247951, 122762.772549269)))",Single Family only
101400,494,79000,151000,1,9,15,0,390,35.7085020242915,304,148,0,42,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1014, Allegheny County, Pennsylvania",1483,114,"list(list(c(1359925.81160078, 1360608.22759214, 1361553.2911078, 1362735.96858296, 1365683.13506031, 1366254.09551511, 1366999.55487802, 1366772.96932619, 1365313.57096951, 1365138.58671835, 1364752.4221651, 1364220.95247996, 1363647.03804958, 1362817.02701184, 1362734.36932909, 1362543.22264661, 1362411.97793764, 1362471.80851254, 1362441.11770234, 1361660.01751313, 1361589.52468541, 1361475.52573429, 1361509.66594526, 1361542.76435691, 1361477.50177186, 1361887.71522724, 1362148.44601503, 1362312.79344232, 
1362683.67858551, 1363240.66750099, 1363371.02193856, 1362207.09125, 1360721.50597731, 1360139.57963438, 1359925.81160078, 125885.038879086, 126022.33809696, 126070.667104952, 125985.857605103, 125080.936749824, 124912.485633427, 124689.02951526, 124106.811257883, 124635.339414026, 124470.611372081, 124162.840565908, 123742.821238605, 122985.292083316, 122182.459650282, 122060.6203362, 120546.70499675, 120042.67208527, 119666.132881293, 118988.271878575, 119415.77062637, 119589.573844252, 120069.166156545, 
120131.722810031, 120528.52001145, 121296.269451754, 122820.696130033, 123759.187372843, 123931.451363628, 124305.17180755, 124544.106675584, 124792.675747488, 125116.069126335, 125163.351770089, 124918.179922635, 125885.038879086)))",Single Family only
101600,22,60000,92500,0,0,6,0,14,38.63636363636363,8,5,0,9,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1016, Allegheny County, Pennsylvania",399,46,"list(list(c(1357111.12034512, 1357943.63173702, 1359462.64930882, 1360709.00665737, 1361191.20710265, 1360655.05254968, 1359103.07964946, 1358552.06401135, 1358463.32402364, 1357930.89220659, 1357262.1346777, 1357111.12034512, 117712.095839807, 118852.538520013, 119341.471691966, 118976.509525975, 118407.081953123, 117345.430230776, 117670.376429624, 117785.277165198, 118348.073041367, 118196.092904669, 117366.758728259, 117712.095839807)))",Single Family only
101700,88,74500,145000,0,3,7,0,67,30,64,16,0,8,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 1017, Allegheny County, Pennsylvania",646,78,"list(list(c(1357262.1346777, 1357930.89220659, 1358463.32402364, 1358552.06401135, 1359103.07964946, 1360655.05254968, 1360119.96099101, 1359300.481202, 1358814.76373107, 1357680.38909855, 1357343.95109122, 1357449.59111402, 1357262.1346777, 117366.758728259, 118196.092904669, 118348.073041367, 117785.277165198, 117670.376429624, 117345.430230776, 116261.529658794, 116230.11690623, 116319.66958701, 116549.586547277, 116619.713058449, 117163.004874845, 117366.758728259)))",Single Family only
