Tract,sf_num_loans,sf_med_income,sf_med_upb,indian,asian,black,hawai,white,mean_age,sf_purchase,sf_refinance,sf_rehab,sf_cashout,sf_na,mf_num_loans,mf_med_upb,mf_purchase,mf_refinance,mf_rehab,mf_cashout,mf_na,NAME,unitE,unitM,geometry,family
010300,15,73000,105000,0,0,1,0,10,33.333333333333336,7,3,0,5,0,2,8697500,1,1,0,0,0,"Census Tract 103, Allegheny County, Pennsylvania",322,57,"list(list(c(1343636.92073029, 1343685.40805499, 1343892.69540036, 1345959.3728183, 1346349.77009037, 1347375.78304059, 1348437.41499752, 1348898.06882012, 1349547.70931438, 1349796.65029664, 1349743.22953647, 1349707.83561739, 1349521.87921748, 1348878.8893459, 1347304.19328038, 1345444.19624945, 1345157.21719928, 1343967.28902922, 1343044.72007102, 1343636.92073029, 106169.789342759, 106654.375306479, 107291.933516544, 107121.835248197, 107088.064528109, 107004.745543972, 106920.189589999, 106878.457034636, 
106789.236517765, 106690.634175866, 106388.765690594, 106192.495521709, 105306.138305638, 105482.296220848, 105242.546568118, 104946.124208332, 104952.450068409, 104968.670862561, 105081.157889086, 106169.789342759)))",Single Family and Multi Family
020100,184,137000,215500,0,10,2,0,151,43.58695652173913,132,42,0,10,0,4,41000000,1,3,0,0,0,"Census Tract 201, Allegheny County, Pennsylvania",2714,129,"list(list(c(1338177.78639526, 1339711.66172083, 1339997.19734735, 1341327.89958148, 1341863.70615846, 1342334.96455051, 1342851.47150879, 1343358.42408278, 1343586.31025982, 1343718.73178598, 1343857.0439059, 1343940.99494504, 1344871.81718519, 1344900.23679081, 1344779.18659593, 1344724.53258772, 1344565.80988478, 1344236.87180004, 1344824.89572519, 1345493.49327506, 1345544.74495409, 1346107.95273763, 1346374.26701326, 1346349.77009037, 1345959.3728183, 1343892.69540036, 1343685.40805499, 1343636.92073029, 
1343044.72007102, 1342676.19540254, 1341605.83444953, 1339353.36489609, 1338255.18580861, 1337702.19652236, 1338177.78639526, 108916.103258927, 109282.06157659, 109350.424442219, 109808.163587501, 109992.499848738, 110157.749791071, 110360.832679391, 110678.983200387, 110200.351655446, 109905.704543805, 109666.305417779, 109596.337778246, 109691.052051331, 109551.817158884, 109210.52306428, 109164.556098636, 108981.69013858, 108161.761180675, 108706.368086271, 109061.93134586, 109116.370825866, 108001.114290556, 
107486.893667186, 107088.064528109, 107121.835248197, 107291.933516544, 106654.375306479, 106169.789342759, 105081.157889086, 105186.214868599, 105944.433803492, 107301.015292629, 108084.898107018, 109013.104257116, 108916.103258927)))",Single Family and Multi Family
020300,103,135000,293000,0,7,1,0,87,39.22330097087379,73,24,0,6,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 203, Allegheny County, Pennsylvania",821,82,"list(list(c(1343358.42408278, 1344419.59136709, 1344876.97555785, 1347776.62893772, 1348060.98759557, 1349095.72831888, 1349708.16101496, 1351285.76343672, 1349329.50717161, 1349891.27377587, 1349653.35538574, 1349574.43579033, 1348750.13036377, 1348105.99754025, 1347601.69292762, 1346765.79805849, 1345874.77610695, 1344779.18659593, 1344900.23679081, 1344871.81718519, 1343940.99494504, 1343857.0439059, 1343718.73178598, 1343586.31025982, 1343358.42408278, 110678.983200387, 111464.61822294, 111881.032741936, 
114522.207257221, 114894.297647298, 115964.731400647, 116961.856806255, 115150.799329123, 113481.419082802, 113218.786923376, 112215.313243098, 112167.043139205, 111554.049252404, 111365.425858358, 111200.916237208, 110714.029134128, 110034.695092166, 109210.52306428, 109551.817158884, 109691.052051331, 109596.337778246, 109666.305417779, 109905.704543805, 110200.351655446, 110678.983200387)))",Single Family only
030500,61,85000,161000,0,1,19,1,28,42.78688524590164,35,21,0,5,0,1,7800000,0,1,0,0,0,"Census Tract 305, Allegheny County, Pennsylvania",1145,111,"list(list(c(1344565.80988478, 1344724.53258772, 1344779.18659593, 1345874.77610695, 1346765.79805849, 1346826.27810202, 1347155.80055821, 1347709.69883415, 1348000.05049699, 1347922.32027988, 1348355.22749382, 1349050.99083025, 1348437.41499752, 1347375.78304059, 1346349.77009037, 1346374.26701326, 1346107.95273763, 1345544.74495409, 1345493.49327506, 1344824.89572519, 1344236.87180004, 1344565.80988478, 108981.69013858, 109164.556098636, 109210.52306428, 110034.695092166, 110714.029134128, 110392.462875302, 
109965.187169383, 108908.160703524, 108623.685573892, 108503.224483427, 107330.147449461, 107259.043526772, 106920.189589999, 107004.745543972, 107088.064528109, 107486.893667186, 108001.114290556, 109116.370825866, 109061.93134586, 108706.368086271, 108161.761180675, 108981.69013858)))",Single Family and Multi Family
040200,44,89500,125500,0,6,7,0,24,43.86363636363637,19,18,0,7,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 402, Allegheny County, Pennsylvania",600,62,"list(list(c(1348437.41499752, 1349050.99083025, 1349711.22660348, 1349661.80860112, 1349880.1006443, 1350900.4224696, 1351103.96357486, 1351136.04422736, 1351034.68236773, 1351132.94707068, 1351668.1677174, 1351760.80153798, 1351925.71094734, 1352475.06458469, 1352565.24496343, 1353555.32473859, 1354072.99789425, 1353579.69188354, 1353264.41100285, 1352838.07478277, 1352752.23254817, 1352222.31709141, 1351829.91205001, 1351376.41388344, 1350855.68038517, 1349796.65029664, 1349547.70931438, 1348898.06882012, 
1348437.41499752, 106920.189589999, 107259.043526772, 107452.748692859, 107577.937510227, 107663.451545538, 107054.497564909, 107259.946916871, 107914.442647536, 108164.514423189, 108554.531552846, 108707.390608793, 108507.841827771, 108662.531387335, 109161.657134871, 108648.001577923, 108730.238256178, 108337.623402071, 107895.346589774, 107609.630009947, 107217.412874223, 107138.328946437, 106682.07045979, 106626.866423959, 106197.828434116, 106210.437102546, 106690.634175866, 106789.236517765, 
106878.457034636, 106920.189589999)))",Single Family only
040400,100,114000,125000,0,15,4,0,68,50.3,78,18,0,4,0,2,13175000,0,2,0,0,0,"Census Tract 404, Allegheny County, Pennsylvania",1181,102,"list(list(c(1355438.97525093, 1355689.1220042, 1356004.94745343, 1356563.31272147, 1356835.92494487, 1357057.51485809, 1356967.9329948, 1357154.89378695, 1357023.20283981, 1356065.49367315, 1356018.91613726, 1355647.76912203, 1355438.97525093, 110432.792696337, 110656.045618918, 110943.964842936, 111145.545194062, 110258.070608091, 109948.846111708, 109940.913925869, 109342.088382938, 108991.531011227, 109250.565552259, 109850.205801245, 109741.553125418, 110432.792696337)))",Single Family and Multi Family
040500,17,137000,158000,0,5,1,0,10,46.470588235294116,3,10,0,4,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 405, Allegheny County, Pennsylvania",1134,92,"list(list(c(1352838.07478277, 1353264.41100285, 1353579.69188354, 1354072.99789425, 1354346.03780871, 1355162.48358926, 1355563.66522823, 1356342.44285945, 1355942.9234404, 1355466.75280267, 1354835.42736133, 1354362.20163742, 1354291.04399156, 1353806.83047192, 1353740.94934427, 1352977.30317717, 1352752.23254817, 1352838.07478277, 107217.412874223, 107609.630009947, 107895.346589774, 108337.623402071, 108124.739498719, 108550.78782347, 108230.054923286, 107853.812777391, 107144.867031052, 107266.313643794, 
106499.864258431, 105873.731400058, 105638.639492027, 105904.288724661, 106040.093592877, 106889.843563777, 107138.328946437, 107217.412874223)))",Single Family only
040600,18,96500,130000,0,3,0,0,11,40.55555555555556,5,8,0,5,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 406, Allegheny County, Pennsylvania",960,94,"list(list(c(1354362.20163742, 1354835.42736133, 1355466.75280267, 1355942.9234404, 1356342.44285945, 1356421.89885588, 1356178.68212636, 1356107.02942151, 1355450.43300317, 1355179.51608589, 1354753.58648771, 1354420.39517548, 1354291.04399156, 1354362.20163742, 105873.731400058, 106499.864258431, 107266.313643794, 107144.867031052, 107853.812777391, 107791.657640084, 107370.678480543, 105339.494023668, 105288.75717568, 105345.945456507, 105440.249831889, 105578.122209556, 105638.639492027, 105873.731400058
)))",Single Family only
040900,164,88000,131000,0,42,4,0,95,39.390243902439025,101,48,0,15,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 409, Allegheny County, Pennsylvania",1507,81,"list(list(c(1349743.22953647, 1349796.65029664, 1350855.68038517, 1351376.41388344, 1351829.91205001, 1352222.31709141, 1352752.23254817, 1352977.30317717, 1353740.94934427, 1353806.83047192, 1354291.04399156, 1354420.39517548, 1354753.58648771, 1355179.51608589, 1355450.43300317, 1356107.02942151, 1356092.75265366, 1356115.23666449, 1356114.77556246, 1355884.87399493, 1355342.98190469, 1354735.41146916, 1354273.11048637, 1354097.5001425, 1353282.41455316, 1351293.07964603, 1349707.83561739, 1349743.22953647, 
106388.765690594, 106690.634175866, 106210.437102546, 106197.828434116, 106626.866423959, 106682.07045979, 107138.328946437, 106889.843563777, 106040.093592877, 105904.288724661, 105638.639492027, 105578.122209556, 105440.249831889, 105345.945456507, 105288.75717568, 105339.494023668, 105040.628045773, 103469.925876108, 103429.846027288, 102855.088360829, 102794.148710669, 102998.04006615, 103448.271280792, 103715.893325732, 104605.212481271, 105792.848767208, 106192.495521709, 106388.765690594)))",Single Family only
050100,19,47000,65000,0,0,9,0,5,42.63157894736842,9,9,0,1,0,NA,NA,NA,NA,NA,NA,NA,"Census Tract 501, Allegheny County, Pennsylvania",934,100,"list(list(c(1347155.80055821, 1349097.28455182, 1349817.52310373, 1350334.36046159, 1350816.84380085, 1351604.68177334, 1352086.09567066, 1352232.87046816, 1352234.69450167, 1351992.51549984, 1352063.14524794, 1351319.89926994, 1350873.36304167, 1350081.654742, 1349650.29422155, 1349183.99577367, 1349032.38279898, 1348000.05049699, 1347709.69883415, 1347155.80055821, 109965.187169383, 110978.007727561, 111354.592802171, 111237.820338259, 111877.1212299, 112286.285718718, 112167.541621212, 111940.732474056, 
111826.971401128, 111317.441518508, 110671.617186352, 110080.881786581, 109704.160556724, 109343.226553632, 109125.046841585, 108880.437061057, 109167.891747987, 108623.685573892, 108908.160703524, 109965.187169383)))",Single Family only
